"source","staged_path","action","duplicate_of","final_path"
"D:\Downloads\2026-03-06-2025-preliminary-bg-harvest (4).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2025\harvest_report\1DA8DDB4__2026-03-06-2025-preliminary-bg-harvest (4).pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\harvest\F7A8FA79__2026-03-06-2025-preliminary-bg-harvest.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\harvest\F7A8FA79__2026-03-06-2025-preliminary-bg-harvest.pdf"
"D:\Downloads\Data\25_antlerless_drawing_odds_report (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\E14A19CD__25_antlerless_drawing_odds_report (1).pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_antlerless_drawing_odds_report.pdf"
"D:\Downloads\Data\25_bg-odds (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\7A03CD6C__25_bg-odds (1).pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_bg-odds.pdf"
"D:\Downloads\Data\25_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\9CF15BD7__25_deer_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2026\\pdf\\draw_odds\9CF15BD7__25_deer_odds.pdf"
"D:\Downloads\Data\25_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\82B4290A__25_dh_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2026\\pdf\\draw_odds\82B4290A__25_dh_odds.pdf"
"D:\Downloads\Data\25_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2026\\pdf\\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf"
"D:\Downloads\Data\25_youth_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2026\draw_odds\5895CB4C__25_youth_dh_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2026\\pdf\\draw_odds\5895CB4C__25_youth_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023_turkey_bonus_points_draw_results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\2023_youth_turkey_draw_results (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2022-24_conservation_permits.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\9E134C35__2022-24_conservation_permits.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\9E134C35__2022-24_conservation_permits.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 DEER ODDS.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\33C56D87__2023 DEER ODDS.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\33C56D87__2023 DEER ODDS.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_bg_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\EA5061F3__23_bg_report.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3748834F__23_bg_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3748834F__23_bg_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\33976145__23_bg-odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\33976145__23_bg-odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\86B01066__23_deer_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\86B01066__23_deer_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\FB56D764__23_dh_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\FB56D764__23_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_drawing_odds BEAR.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_lifetime_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C1465317__23_lifetime_deer.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C1465317__23_lifetime_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 draw odds\23_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 ELK + OTHER BIG GAME.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023 sportsman permit odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_conservation_permits.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\B0A10DB0__2023_conservation_permits.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\9E134C35__2022-24_conservation_permits.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\9E134C35__2022-24_conservation_permits.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_cougar_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\AC1194F9__2023_cougar_odds_report.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\AC1194F9__2023_cougar_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\2023_youth_turkey_draw_results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\F6517B6A__2023_youth_turkey_draw_results.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_bg_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\F4FB9132__23_bg_report.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3748834F__23_bg_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\3748834F__23_bg_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\FD8AD8D4__23_bg-odds.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\33976145__23_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\33976145__23_bg-odds.pdf"
