OBJECTID,Boundary_Name,GlobalID,BoundaryID,Description,SHAPE__Area,SHAPE__Length
1,"North Slope, Three Corners",aec10bc4-a343-49e4-ac95-616923f3097e,140,"Daggett County—Boundary begins at the Flaming Gorge Reservoir main channel western shoreline on the east side of Lucerne Point at the Utah-Wyoming state line; east on this state line to the Utah-Colorado state line; south on this state line to the Green River; west along this river to the Flaming Gorge Reservoir west shoreline; west along this shoreline to the Utah-Wyoming state line; east along the state line to Lucerne Point; east around Lucerne Point to the Utah-Wyoming State line. Excludes all CWMUs. USGS 1:100,000 Maps: Dutch John. Boundary questions? Call Vernal office, 435-781-9453. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",1023344832.76172,281220.990873388
2,"Fillmore, Oak Creek (cougar)",29e13e27-708b-48c4-aa03-130eae0a2439,668,"Juab, Millard, Sanpete and Sevier counties—Boundary begins at Black Rock Road and I-15(Exit 135); west on Black Rock Road to SR-257; north on SR-257 to US-6/50; east on US-6/50 to US-6; northeast on US-6 to Santaquin and I-15; south on I-15 to Exit 135 and Black Rock Road. Boundary questions? Call the Cedar City office, 435-865-6100. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",8874621028.60938,534915.003876442
3,Thousand Lakes,28ee3763-260b-4d83-8be4-01ec7470584b,632,"Sevier and Wayne counties—Boundary begins at the junction of SR-24 and SR-72; east on SR-24 to the Caineville Wash road; north along the Caineville Wash road to the Cathedral Valley road; west on the Cathedral Valley road to Rock Springs Bench and the Last Chance Desert road; north on the Last Chance Desert road to the Blue Flats road; north and east on the Blue Flats road to the Willow Springs road; north on the Willow Springs road towards Windy Peak and the Windy Peak road; west on the Windy Peak road to SR-72; south on SR-72 to SR-24. Private lands within this boundary are open to general deer hunting. USGS 1:100,000 Maps: Salina, San Rafael Desert, Loa, Hanksville. Boundary questions? Call the Cedar City office, 435-865-6100. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",2146081004.41797,272749.615495582
4,"East Canyon, Morgan-Summit",f4eddff3-bb6e-48e2-935a-c0d4bce58d67,79,"Morgan and Summit counties—Boundary begins at the junction of I-80 and I-84 at Echo; west on I-80 to the Salt Lake-Summit county line at Parley’s Summit; north along this county line to the Salt Lake-Morgan county line; north along this county line to the Morgan-Davis county line; north along this county line to I-84; east on I-84 to I-80 at Echo Junction. This hunt is comprised of all or largely private property. Hunters should acquire written permission from the landowner before applying for this hunt. USGS 1:100,000 Maps: Ogden, Salt Lake City. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",1717556399.49609,214967.85814249
5,Box Elder,4f6c5317-9f7c-487d-800e-024a6aead2ae,607,"Box Elder, Davis, Salt Lake, Tooele and Weber counties&#8212;Boundary begins at the Utah-Idaho state line and I-15; west on this state line to the Utah-Nevada state line; south on this state line to I-80; east on I-80 to I-15; north on I-15 to the Utah-Idaho state line. This hunt is comprised of all or largely private property. Excludes all CWMUs. USGS 1:100,000 Maps: Bonneville Salt Flat, Grouse Creek, Jackpot, Newfoundland Mountains, Promontory Point, Salt Lake City, Tooele, Tremonton, Wells, Wendover. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",41282528227.6211,930699.970383945
6,Cache,89d9659b-3205-4177-8144-5215782073eb,29,"Box Elder, Cache, Rich and Weber counties—Boundary begins at I-15 and the Utah-Idaho state line; south on I-15 to US-91; east on US-91 to US-89/91; north on US-89/91 to SR-101; east on SR-101 to Hardware Ranch and USFS Road 054 (Ant Flat road); south on USFS Road 054 to SR-39; east on SR-39 to SR-16 in Woodruff; southeast on SR-16 to the Utah-Wyoming state line; north along this state line to the Utah-Idaho state line; west along this state line to I-15. Excludes all CWMUs. USGS 1:100,000 Maps: Tremonton, Logan, Ogden. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",8541392823.57031,505009.136436614
7,Ogden,6e0dbd27-fd44-4ff8-ae3b-dcae1e36f4b7,609,"Box Elder, Cache, Morgan and Weber counties—Boundary begins at US-91 and SR-101 west of Hyrum; east on SR-101 to Hardware Ranch and USFS Road 054 (Ant Flat Road); south on this road to SR-39; southwest on SR-39 to SR-167 (Trappers Loop Road); south on SR-167 to I-84 (Exit 92); west on I-84 to I-15; north on I-15 to US-91; northeast on US-91 to SR-101 west of Hyrum. This hunt is comprised of all or largely private property. Excludes all CWMUs. USGS 1:100,000 Maps: Logan, Ogden, Promontory Point. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",2919371882.28906,250393.683848164
8,Kamas,f0523141-a89b-4e26-8022-a7f00ebbf528,611,"Summit and Wasatch counties—Boundary begins at I-80 and SR-32 at Wanship; south on SR-32 to Oakley and the Weber Canyon road (CR-2596); east on this road to Holiday Park and the Weber River Trail; east on this trail to SR-150 near Pass Lake; south and west on SR-150 to North Fork Provo River; south along  this river to the Provo River; south along this river to SR-35; west on SR-35 to Francis and SR-32; west on SR-32 to US-40; north on US-40 to I-80; north on I-80 to SR-32 at Wanship. Excludes all CWMUs. USGS 1:100,000 Maps: Kings Peak, Salt Lake City. Boundary questions? Call the Ogden office, 801-476-2740. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",1545935458.54297,218410.148601945
9,Yellowstone,33e760b1-3f1b-4d2a-916f-8566eef91fb4,613,"Duchesne, Summit, Uintah and Wasatch counties—Boundary begins at SR-87 and US-40 in Duchesne; north on SR-87 to SR-35; northwest on SR-35 to the Provo River; north along this river to North Fork Provo River; north along this river to SR-150; east and north on SR-150 to the Summit-Duchesne county line (summit of the Uinta Mountains) at Hayden Pass; east along the summit of the Uinta Mountains to the Dry Fork-Whiterocks drainage divide; south atop this divide to USFS Trail #025; southwest on this trail to Whiterocks Lake and the East Fork of the Whiterocks River; south along this river to the Whiterocks River; south along this river to the Uinta River; south along this river to the Duchesne River; west along this river to US-40 at Myton; west on US-40 to SR-87 in Duchesne. EXCLUDES ALL NATIVE AMERICAN TRUST LAND WITHIN THIS BOUNDARY. USGS 1:100,000 Maps: Duchesne, Dutch John, Kings Peak, Provo, Salt Lake City, Vernal. Boundary questions? Call the Vernal office, 435-781-9453. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",8736813034.99609,540494.380938501
10,North Slope,9cfefc4f-8a13-4001-86fa-a9094fb2697c,612,"Daggett and Summit counties—Boundary begins SR-150 and the Summit-Duchesne county line at Hayden Pass (summit of the Uinta Mountains); north on SR-150 to the Utah-Wyoming state line; east on this state line to the Utah-Colorado state line; south on this state line to the Green River; west along this river to Flaming Gorge Reservoir; west along the south shoreline of this reservoir to Cart Creek; south along this creek to US-191; south on US-191 to the Uintah-Daggett County line (summit of the Uinta Mountains); west along the summit of the Uinta mountains to SR-150 at Hayden Pass. USGS 1:100,000 Maps: Dutch John, Kings Peak. Boundary questions? Call the Vernal office, 435-781-9453. - A hunting permit does not authorize the permit holder to hunt on Native American trust lands, CWMUs (unless you specifically have a permit for that CWMU) or on National Park lands. Furthermore, it is the responsibility of hunters to learn if hunting is allowed and what specific rules and regulations may apply on National Monuments, National Wildlife Refuges, State Parks, UDWR Wildlife and Waterfowl Management areas, military installations and within the boundaries of cities, towns and municipalities. Written permission is required to hunt private lands.",5558013010.67969,576379.83948414
