OBJECTID,Boundary_Name,GlobalID,BoundaryID,Description,Unit_Number,Shape__Area,Shape__Length
1,"North Slope, Three Corners",d797f166-460d-4bd4-a00d-04d4bed9f779,140,"Daggett County—Boundary begins at the Flaming Gorge Reservoir main channel western shoreline on the east side of Lucerne Point at the Utah-Wyoming state line; east on this state line to the Utah-Colorado state line; south on this state line to the Green River; west along this river to the Flaming Gorge Reservoir west shoreline; west along this shoreline to the Utah-Wyoming state line; east along the state line to Lucerne Point; east around Lucerne Point to the Utah-Wyoming State line. Excludes all CWMUs. USGS 1:100,000 Maps: Dutch John. Boundary questions? Call Vernal office, 435-781-9453. ",8C,1023344833.11719,281220.99217391
2,San Rafael,3b2af02d-1a57-4f3c-ad74-cffac9c36318,191,"Emery, Sevier, and Wayne counties—Boundary begins at the crossing of I-70 over the Green River; south along the Green River to the Colorado River; south along the Colorado River and the west shoreline of Lake Powell to SR-95; north on SR-95 to a point two miles south of Hanksville and the SR- 95/SR-24 Jct; west along a line two miles south of SR-24 to a point on the Notom road two miles south of SR-24; north on this road to SR-24; east on this road to Caineville and the Caineville Wash road; north along this road to the Cathedral Valley road; west on this road to Rock Springs Bench and the Last Chance Desert road; north on this road to the Blue Flats road; north and east on this road to the Willow Springs road; north on this road towards Windy Peak and the Windy Peak road; west on this road to SR- 72, I-70, and the SR-10 junction; north on SR-10 to SR-6 at Price; east on SR-6 to I-70; east on this road to the crossing of the Green River. EXCLUDES ALL NATIONAL PARKS. USGS 1:100,000 Maps: Escalante, Loa, Hanksville, Hite Crossing, Huntington, Salina, San Rafael Desert. Boundary questions? Call the Price office, 435-613-3700. ",12,21688098406.5664,901976.89234316
3,Diamond Mtn/Vernal/Bonanza,1ba19f51-ecc3-448f-ba3b-7621abecde3b,444,"Daggett and Uintah counties—Boundary begins at the Green River and the Utah-Colorado state line; west along the Green River to Flaming Gorge Reservoir; west along the south shoreline of Flaming Gorge Reservoir to Cart Creek; south along this creek to US-191; south on US-191 to the Uintah/Daggett county line (summit of the Uinta Mountains); west along this summit to the Dry Fork-Whiterocks drainage divide;  southwest along the divide to USFS Trail #025 and Whiterocks Lake; south along the lake and trail to the East Fork of the Whiterocks River;  south along this river to the Whiterocks river; south along this river to the Uinta River; south along this river to the Duchesne River; south along this river to the Green River; south along this river to the White River; east along this river to the Utah-Colorado state line; north on this state line to the Green River. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. USGS 1:100,000 Maps: Dutch John, Seep Ridge, Vernal. Boundary questions? Call the Vernal office, 435-781-9453. ",9BCD,11100898360.3672,605064.697732183
4,"Wasatch Mtns, Cascade",3ae20637-874d-465a-8470-3ea487d32b02,226,"Utah County — Boundary begins US-189 and SR-52 at Orem; east on US-189 to the Bear Canyon drainage; southeast up Bear Canyon drainage bottom to the Utah-Wasatch county line on Wallsburg Ridge; east and south along this county line to the Berryport Canyon trail; south along this trail to the Left Hand Fork of Hobble Creek road; south along this road to Hobble Creek Road; west on this road to 400 South in Springville; west on 400 South to US-89; north on US-89 to US-189; north on US-189 to SR-52. USGS 1:100,000 Maps: Provo. Boundary questions? Call Springville office, (801) 491-5678. ",17A2,546761911.832031,99212.5117302743
5,"Wasatch Mtns, Timpanogos",edf79f74-1b4f-4a6a-b66d-44272a7a26fe,237,"Utah County—Boundary begins US-189 and SR-52 at Orem; east on US-189 to SR-92; north and west SR-92 to SR-144; northeast on SR-144 to Tibble Fork Reservoir and the Deer Creek Trail; northwest on this trail to the drainage divide at the head of Dry Creek Canyon; north along this divide to the Utah-Salt Lake county line; west on this county line to I-15; south along I-15 to SR-52; east on this road to US-189. The Timpanogos Wildlife Management Area is closed to motorized travel year-round except during general deer season. USGS 1:100,000 Maps: Provo, Salt Lake City. Boundary questions? Call Springville office, 801-491-5678. ",17A1,694561788.757812,137315.708044
6,"Box Elder, Raft River",d2ebade1-21f7-41da-b0fc-0731b7781ac9,26,"Box Elder County — Boundary begins at the Lynn/Oakley County, Idaho road and the Utah-Idaho state line; south on this road to Lynn and the Lynn Valley road; south on this road to the Dove Creek road; southeast on this road over Dove Creek Pass to SR-30 near Rosette; northeast on SR-30 to SR-42; northwest on SR-42 to the Utah-Idaho state line; west on this state line to the Lynn/Oakley County, Idaho road. USGS 1:100,000 Maps: Grouse Creek. Boundary questions? Call Ogden office, (801) 476-2740. ",1A,1818613653.59375,195667.986414463
8,"Book Cliffs, East",95bde66c-65df-4c5a-8b35-cf57c868c515,8,"Grand and Uintah counties—Boundary begins at Thompson Canyon road and I-70 at Thompson; north on this road to Sego Canyon Road; north along this road to the Ute Indian Reservation boundary; west along this boundary to the Green River; northeast along the Green River to the White River; east along the White River to the Utah-Colorado state line; south along this state line to I-70; southwest along I-70 to Thompson Canyon road at Thompson. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. USGS 1:100,000 Maps: Moab, Seep Ridge, Vernal, Westwater. Boundary questions? Call the Vernal office, 435-781-9453, or the Price office, 435-613-3700. ",10A,13693762694.6719,667646.181457616
9,Nebo (excludes West Face),b606dec1-0a87-45f1-91d8-34fc80969b1c,56,"Juab, Millard, Sanpete, Sevier and Utah counties—Boundary begins at US-6 and I-15 at Spanish Fork; southeast on US-6 to US-89 at Thistle Junction; south on US-89 to Salina and SR-50; northwest along SR-50 to I-15 at Scipio; north along I-15 to SR-132 at Nephi; east on SR-132 to USFS Road 015 (Nebo Loop Road); north along this road to Payson and I-15; northwest on I-15 to US-6 at Spanish Fork. The Deep Creek, Levan, Fountain Green, and Spencer Fork Wildlife Management Areas are closed to motorized travel 12/1 – 5/30 and the Loafer Mountain Wildlife Management Area is closed to motorized travel year-round. USGS 1:100,000 Maps: Delta, Manti, Nephi, Provo, Salina. Boundary questions? Call Springville office, (801) 491-5678. ",16A,5795390723.29688,450760.130752246
10,Nebo-West Face,bc64defa-4b7e-4b6d-aa95-3b67a180b2d1,57,"Juab and Utah counties — Boundary begins at SR-132 and I-15 at Nephi; east on SR-132 to USFS Road 015 (Nebo Loop Road); north on this road to Payson and I-15; south on I-15 to SR-132. USGS 1:100,000 Maps: Nephi, Provo. Boundary questions? Call Springville office, (801) 491-5678. ",16A1,623197221.660156,145131.925099998
11,"Manti, Northeast",a4ec4b42-d79d-46f5-a0a8-f29d0493326a,445,"Carbon, Emery, Utah and Wasatch counties—Boundary begins at SR-10 and US-6 at Price; south along SR-10 to SR-31 at Huntington; northwest along SR-31 to SR-264; east along SR-264 to SR-96 past Scofield Reservoir to US-6; southeast on US-6 to SR-10. USGS 1:100,000 Maps: Huntington, Manti, Nephi, Price. Boundary questions? Call Price office, (435) 613-3700. ",16B2,2374266853.16016,250383.334055207
